"statistical_year","region_abbr","inter_item_code","type_code","item_value","dm_update_time","dm_load_time"
"2012",HKI,US_CM_000001,ME_TY_000001,664136.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",HKI,US_CM_000001,ME_TY_000001,733444.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",HKI,US_CM_000001,ME_TY_000002,50.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",NTE,US_CM_000001,ME_TY_000001,920335.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",NTE,US_CM_000001,ME_TY_000002,9.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",NTE,US_CM_000001,ME_TY_000002,14.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",NTE,US_CM_000001,ME_TY_000001,707685.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",NTE,US_CM_000001,ME_TY_000001,806696.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",NTE,US_CM_000001,ME_TY_000002,37.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",HKSAR,US_CM_000001,ME_TY_000002,197.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",HKSAR,US_CM_000001,ME_TY_000001,3871619.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",HKSAR,US_CM_000001,ME_TY_000002,44.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",HKSAR,US_CM_000001,ME_TY_000002,73.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",HKSAR,US_CM_000001,ME_TY_000001,3147091.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",HKSAR,US_CM_000001,ME_TY_000001,3479627.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",HKI,US_CM_000001,ME_TY_000001,779258.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",HKI,US_CM_000001,ME_TY_000002,11.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",HKI,US_CM_000001,ME_TY_000002,19.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",K,US_CM_000001,ME_TY_000001,1142033.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",K,US_CM_000001,ME_TY_000002,7.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",K,US_CM_000001,ME_TY_000002,12.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",NTW,US_CM_000001,ME_TY_000001,1029993.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",NTW,US_CM_000001,ME_TY_000002,17.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",NTW,US_CM_000001,ME_TY_000002,28.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",K,US_CM_000001,ME_TY_000001,936305.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",K,US_CM_000001,ME_TY_000001,1022115.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",K,US_CM_000001,ME_TY_000002,35.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2012",NTW,US_CM_000001,ME_TY_000001,838965.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2016",NTW,US_CM_000001,ME_TY_000001,917372.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2024",NTW,US_CM_000001,ME_TY_000002,75.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2018",HKI,US_CM_000001,ME_TY_000001,772109.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2025",HKI,US_CM_000001,ME_TY_000001,757695.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2004",HKI,US_CM_000001,ME_TY_000002,0.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2019",HKI,US_CM_000001,ME_TY_000002,22.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2006",K,US_CM_000001,ME_TY_000001,865986.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2021",K,US_CM_000001,ME_TY_000001,1162709.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
"2022",K,US_CM_000001,ME_TY_000001,1168764.000000,2026-08-14 11:18:21.046,2026-08-14 11:18:21.046
