"id","statistical_month","region_abbr","inter_item_code","item_value","dm_update_time","dm_load_time"
ea0cdb4a-ac2f-8c3e-e398-fa163e9bc3ab,201101,HKSAR,IT_PS_000019,180.78096,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea0f2274-ac2f-8c3e-e398-fa163e9bc3ab,202301,HKSAR,IT_PS_000019,168.93236,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea10712e-ac2f-8c3e-e398-fa163e9bc3ab,201302,HKSAR,IT_PS_000019,185.86299,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea14b0fe-ac2f-8c3e-e398-fa163e9bc3ab,200906,HKSAR,IT_PS_000019,171.88305,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea1503e2-ac2f-8c3e-e398-fa163e9bc3ab,202002,HKSAR,IT_PS_000019,183.29854,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea18e548-ac2f-8c3e-e398-fa163e9bc3ab,200905,HKSAR,IT_PS_000019,162.40564,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea1fcfca-ac2f-8c3e-e398-fa163e9bc3ab,202012,HKSAR,IT_PS_000019,161.70830,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea2118f8-ac2f-8c3e-e398-fa163e9bc3ab,201110,HKSAR,IT_PS_000019,164.07863,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea235da2-ac2f-8c3e-e398-fa163e9bc3ab,200907,HKSAR,IT_PS_000019,163.83960,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea245cfc-ac2f-8c3e-e398-fa163e9bc3ab,201002,HKSAR,IT_PS_000019,210.18199,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea301a74-ac2f-8c3e-e398-fa163e9bc3ab,202103,HKSAR,IT_PS_000019,116.85722,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea3684d6-ac2f-8c3e-e398-fa163e9bc3ab,202305,HKSAR,IT_PS_000019,163.31959,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea38769c-ac2f-8c3e-e398-fa163e9bc3ab,201705,HKSAR,IT_PS_000019,164.21599,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea3b7446-ac2f-8c3e-e398-fa163e9bc3ab,201708,HKSAR,IT_PS_000019,171.98499,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea44a69c-ac2f-8c3e-e398-fa163e9bc3ab,201606,HKSAR,IT_PS_000019,168.17757,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea51e294-ac2f-8c3e-e398-fa163e9bc3ab,201705,NTW,IT_PS_000019,143.14514,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea578686-ac2f-8c3e-e398-fa163e9bc3ab,200906,K,IT_PS_000019,224.28333,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea63f07e-ac2f-8c3e-e398-fa163e9bc3ab,202109,NTE,IT_PS_000019,150.38109,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea684c64-ac2f-8c3e-e398-fa163e9bc3ab,201612,HKI,IT_PS_000019,160.49164,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea69aeba-ac2f-8c3e-e398-fa163e9bc3ab,201705,K,IT_PS_000019,144.55378,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea6bfb7a-ac2f-8c3e-e398-fa163e9bc3ab,200903,NTW,IT_PS_000019,385.66847,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea6d473c-ac2f-8c3e-e398-fa163e9bc3ab,201206,NTW,IT_PS_000019,60.51971,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea71534a-ac2f-8c3e-e398-fa163e9bc3ab,201902,NTE,IT_PS_000019,247.26488,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea73a190-ac2f-8c3e-e398-fa163e9bc3ab,200907,NTW,IT_PS_000019,364.33889,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea76f99e-ac2f-8c3e-e398-fa163e9bc3ab,202506,NTE,IT_PS_000019,153.23301,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea79a720-ac2f-8c3e-e398-fa163e9bc3ab,202203,NTE,IT_PS_000019,158.42591,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea7bf7be-ac2f-8c3e-e398-fa163e9bc3ab,201209,HKI,IT_PS_000019,184.04966,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea808fae-ac2f-8c3e-e398-fa163e9bc3ab,202505,HKI,IT_PS_000019,192.24152,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea8ad680-ac2f-8c3e-e398-fa163e9bc3ab,201706,NTE,IT_PS_000019,235.69533,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea8e727c-ac2f-8c3e-e398-fa163e9bc3ab,201906,NTE,IT_PS_000019,228.13257,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea9072ac-ac2f-8c3e-e398-fa163e9bc3ab,201911,NTE,IT_PS_000019,227.89336,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
ea950b00-ac2f-8c3e-e398-fa163e9bc3ab,200908,NTW,IT_PS_000019,490.59856,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
eaa44cbe-ac2f-8c3e-e398-fa163e9bc3ab,202503,K,IT_PS_000019,202.26054,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
eaaaa80c-ac2f-8c3e-e398-fa163e9bc3ab,200910,HKI,IT_PS_000019,155.70079,2025-11-25 21:23:54.449,2025-11-25 21:23:54.449
