"installation_id","tag_name_en","tag_value","tag_value_avg","tag_value_min","tag_value_max","quality","tag_time","dm_update_time","dm_load_time"
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 15:40:43.620,2026-09-16 15:33:56.516,2026-09-16 15:33:56.516
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 15:55:43.760,2026-09-16 15:48:57.285,2026-09-16 15:48:57.285
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 16:10:43.860,2026-09-16 16:03:56.232,2026-09-16 16:03:56.232
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 16:25:43.980,2026-09-16 16:18:59.458,2026-09-16 16:18:59.458
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 16:40:43.390,2026-09-16 16:33:57.070,2026-09-16 16:33:57.070
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 16:55:43.910,2026-09-16 16:48:59.288,2026-09-16 16:48:59.288
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 17:10:43.410,2026-09-16 17:03:55.818,2026-09-16 17:03:55.818
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 17:25:43.850,2026-09-16 17:18:52.900,2026-09-16 17:18:52.900
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 17:40:43.790,2026-09-16 17:34:03.327,2026-09-16 17:34:03.327
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 17:55:43.600,2026-09-16 17:49:02.034,2026-09-16 17:49:02.034
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 18:10:43.260,2026-09-16 18:03:56.861,2026-09-16 18:03:56.861
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 18:25:43.150,2026-09-16 18:19:02.507,2026-09-16 18:19:02.507
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 18:40:43.740,2026-09-16 18:33:56.348,2026-09-16 18:33:56.348
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 18:55:43.800,2026-09-16 18:48:56.212,2026-09-16 18:48:56.212
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 19:10:43.990,2026-09-16 19:03:56.747,2026-09-16 19:03:56.747
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 19:25:43.200,2026-09-16 19:18:51.639,2026-09-16 19:18:51.639
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 19:40:43.250,2026-09-16 19:34:04.017,2026-09-16 19:34:04.017
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 19:55:43.530,2026-09-16 19:49:00.281,2026-09-16 19:49:00.281
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 20:10:43.450,2026-09-16 20:03:57.960,2026-09-16 20:03:57.960
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 20:25:43.650,2026-09-16 20:18:58.467,2026-09-16 20:18:58.467
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 20:40:43.100,2026-09-16 20:34:01.029,2026-09-16 20:34:01.029
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 20:55:43.760,2026-09-16 20:48:59.319,2026-09-16 20:48:59.319
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 21:10:43.900,2026-09-16 21:04:00.661,2026-09-16 21:04:00.661
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 21:25:43.870,2026-09-16 21:18:51.218,2026-09-16 21:18:51.218
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 21:40:43.710,2026-09-16 21:34:00.575,2026-09-16 21:34:00.575
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 21:55:43.990,2026-09-16 21:48:58.510,2026-09-16 21:48:58.510
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 22:10:43.270,2026-09-16 22:03:58.017,2026-09-16 22:03:58.017
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 22:25:43.540,2026-09-16 22:18:59.165,2026-09-16 22:18:59.165
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 22:40:43.910,2026-09-16 22:33:58.611,2026-09-16 22:33:58.611
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 22:55:43.900,2026-09-16 22:48:56.924,2026-09-16 22:48:56.924
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 23:10:43.720,2026-09-16 23:03:57.215,2026-09-16 23:03:57.215
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 23:25:43.790,2026-09-16 23:19:05.671,2026-09-16 23:19:05.671
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 23:40:43.730,2026-09-16 23:33:55.961,2026-09-16 23:33:55.961
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-16 23:55:43.940,2026-09-16 23:48:56.925,2026-09-16 23:48:56.925
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 00:10:43.310,2026-09-17 00:03:58.316,2026-09-17 00:03:58.316
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 00:25:43.630,2026-09-17 00:18:56.404,2026-09-17 00:18:56.404
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 00:40:43.850,2026-09-17 00:34:04.866,2026-09-17 00:34:04.866
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 00:55:43.830,2026-09-17 00:48:53.092,2026-09-17 00:48:53.092
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 01:10:43.760,2026-09-17 01:03:57.437,2026-09-17 01:03:57.437
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 01:25:43.940,2026-09-17 01:19:00.881,2026-09-17 01:19:00.881
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 01:40:43.800,2026-09-17 01:33:52.959,2026-09-17 01:33:52.959
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 01:55:43.570,2026-09-17 01:48:57.274,2026-09-17 01:48:57.274
TW005,TW_FinalWater_ES_PH_PH,0.00000,0.00000,0.00000,0.00000,8,2026-09-17 02:10:43.130,2026-09-17 02:04:04.890,2026-09-17 02:04:04.890
