"asset_id","region","sub_region","installation_no","offical_eng_name","offical_chi_name","address_eng","address_chi","kwh_ml","running_pumps","total_pumps","mh","dm_update_time","dm_load_time"
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,288.88674,3.00000,3.00000,200901,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,306.60724,3.00000,3.00000,200902,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,285.97687,2.00000,3.00000,200903,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,305.43930,2.00000,3.00000,200904,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,259.42474,3.00000,3.00000,200905,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,332.65144,3.00000,3.00000,200906,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,286.45800,3.00000,3.00000,200907,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,273.85399,3.00000,3.00000,200908,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,317.72253,3.00000,3.00000,200909,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,283.42274,3.00000,3.00000,200910,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,272.57956,2.00000,3.00000,200911,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,316.58504,2.00000,3.00000,200912,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,276.64311,2.00000,3.00000,201001,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,316.61990,3.00000,3.00000,201002,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,298.18080,3.00000,3.00000,201003,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,294.86364,3.00000,3.00000,201004,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,316.08827,3.00000,3.00000,201005,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,285.92563,3.00000,3.00000,201006,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,284.67265,3.00000,3.00000,201007,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,314.69761,3.00000,3.00000,201008,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,285.29569,2.00000,3.00000,201009,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,283.93578,2.00000,3.00000,201010,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,305.60952,2.00000,3.00000,201011,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,304.55592,3.00000,3.00000,201012,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,247.37370,3.00000,3.00000,201101,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,350.97690,2.00000,3.00000,201102,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,271.30470,4.00000,4.00000,201103,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,315.47479,4.00000,4.00000,201104,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,271.54922,4.00000,4.00000,201105,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,337.66189,4.00000,4.00000,201106,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,257.86025,3.00000,4.00000,201107,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,327.34526,3.00000,4.00000,201108,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,293.00728,3.00000,4.00000,201109,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,301.72487,3.00000,4.00000,201110,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,280.60224,4.00000,4.00000,201111,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,320.86414,4.00000,4.00000,201112,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,286.65188,3.00000,4.00000,201201,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,316.79053,3.00000,4.00000,201202,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,282.71255,4.00000,4.00000,201203,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,318.10738,4.00000,4.00000,201204,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,287.32755,4.00000,4.00000,201205,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,294.17363,4.00000,4.00000,201206,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,326.71369,4.00000,4.00000,201207,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,296.40230,4.00000,4.00000,201208,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,273.76951,4.00000,4.00000,201209,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,316.60840,4.00000,4.00000,201210,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,298.02932,4.00000,4.00000,201211,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,307.00525,4.00000,4.00000,201212,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,279.12075,4.00000,4.00000,201301,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,308.21788,4.00000,4.00000,201302,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,260.34352,4.00000,4.00000,201303,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,305.88914,4.00000,4.00000,201304,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,306.27578,4.00000,4.00000,201305,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,295.77336,4.00000,4.00000,201306,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,329.65801,4.00000,4.00000,201307,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,286.28881,4.00000,4.00000,201308,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,287.22151,4.00000,4.00000,201309,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
1,HKI,HKI(D4),PS021,Cheung Chau Fresh Water Pumping Station,長洲食水抽水站,"15 Cheung Kwai Road, Cheung Chau",長洲 長貴路15號,315.97657,3.00000,4.00000,201310,2025-11-24 14:53:54.347,2025-11-24 14:53:54.347
