"i_code","region_abbr","wtw_name_en","wtw_name_cn","wtw_name_tc","tag_name_en","tag_name_cn","tag_name_tc","units","tag_type","dim_update_time","dim_load_time"
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GAC_INTAKE_T1GAC02_CF101XG01_MEAS,水厂入水-海水流量,水廠入水-海水流量,MLD,FLOW,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GAC_INTAKE_T1GAC02_CL101AXG04_MEAS,水厂入水-海水泵站A1压力,水廠入水-海水泵站A1壓力,m ,PRESSURE,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GAC_INTAKE_T1GAC02_CL101BXG04_MEAS,水厂入水-海水泵站B1压力,水廠入水-海水泵站B1壓力,m ,PRESSURE,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GAC_INTAKE_T1GAC02_CQ102XG06_MEAS,水厂入水-海水碳氢化合物,水廠入水-海水碳氫化合物,μg/L,HC,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GAC_INTAKE_T1GAC02_CQ103XG06_MEAS,水厂入水-海水氧化还原电位,水廠入水-海水氧化還原電位,mV,ORP,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GKC_PRODUCT_T1GKC01_1_AP003_STP_ACTIVE,水厂出水-泵机3号停止,水廠出水-泵浦機3號停止,,PMP_S/S_STS,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GKC_PRODUCT_T1GKC01_1_AP003_STR_ACTIVE,水厂出水-泵机3号运行,水廠出水-泵浦機3號運行,,PMP_S/S_STS,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GKC_PRODUCT_T1GKC01_CF101_MEAS_MEAS,水厂出水-干管流量(CF101),水廠出水-幹管流量(CF101),MLD,FLOW,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GKC_PRODUCT_T1GKC01_CF101XG01_MEAS,水厂出水-干管流量(CF101XG01),水廠出水-幹管流量(CF101XG01),MLD,FLOW,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
TW100,NTE,Tseung Kwan O Desalination Plant,将军澳海水化淡厂,將軍澳海水化淡廠,SL_TKO_GKC_PRODUCT_T1GKC01_CF101XG07_MEAS,水厂出水-干管流量(CF101XG07),水廠出水-幹管流量(CF101XG07),MLD,FLOW,2026-07-20 16:17:37.599,2026-07-20 16:17:37.599
