"id","sensor_code","sensor_value","sensor_time","dm_update_time","dm_load_time"
ac1929cc-8322-893f-19f5-fa163eef1aaa,FWBDKN05002Q00101,0.000000,2026-08-26 10:11:00.000,2026-08-26 10:20:47.133,2026-08-26 10:20:47.133
dcff2346-831f-8a3f-3df3-fa163eef13a1,FWBDKN05002Q00105,0.000000,2026-08-26 09:51:00.000,2026-08-26 10:00:40.632,2026-08-26 10:00:40.632
dcfe9cfa-831f-8a3f-3df3-fa163eef13a1,FWBDKN05002Q00103,0.000000,2026-08-26 09:51:00.000,2026-08-26 10:00:40.632,2026-08-26 10:00:40.632
"28c29fb6-831f-8c3f-60bd-fa163eef1989",FWBDKN05002Q00104,0.000000,2026-08-26 09:46:00.000,2026-08-26 09:55:38.290,2026-08-26 09:55:38.290
cc75a9d0-8308-8b3f-eee0-fa163eefef93,FWBDKN05002Q00103,0.000000,2026-08-26 07:06:00.000,2026-08-26 07:15:34.461,2026-08-26 07:15:34.461
ff3a312e-82fe-8b3f-eee0-fa163eefef93,FWBDKN05002Q00105,0.000000,2026-08-26 05:56:00.000,2026-08-26 06:05:24.642,2026-08-26 06:05:24.642
"8840f538-82fb-8c3f-60bd-fa163eef1989",FWBDKN05002Q00102,0.000000,2026-08-26 05:31:00.000,2026-08-26 05:40:36.569,2026-08-26 05:40:36.569
aaa54df4-82f6-8c3f-60bd-fa163eef1989,FWBDKN05002Q00101,0.000000,2026-08-26 04:56:00.000,2026-08-26 05:05:46.843,2026-08-26 05:05:46.843
d29af8b6-82f3-8c3f-60bd-fa163eef1989,FWBDKN05002Q00104,0.000000,2026-08-26 04:36:00.000,2026-08-26 04:45:25.395,2026-08-26 04:45:25.395
"5b021bd4-82f0-8c3f-60bd-fa163eef1989",FWBDKN05002Q00104,0.000000,2026-08-26 04:11:00.000,2026-08-26 04:20:36.229,2026-08-26 04:20:36.229
b4300d1c-82da-893f-19f5-fa163eef1aaa,FWBDKN05002Q00104,0.000000,2026-08-26 01:36:00.000,2026-08-26 01:45:36.930,2026-08-26 01:45:36.930
"545350f8-82d9-8a3f-3df3-fa163eef13a1",FWBDKN05002Q00104,0.000000,2026-08-26 01:26:00.000,2026-08-26 01:35:46.614,2026-08-26 01:35:46.614
bf4b604e-82c5-8a3f-3df3-fa163eef13a1,FWBDKN05002Q00101,0.000000,2026-08-25 23:06:00.000,2026-08-25 23:15:36.149,2026-08-25 23:15:36.149
"40f2834c-82c2-8a3f-3df3-fa163eef13a1",FWBDKN05002Q00102,0.000000,2026-08-25 22:40:00.000,2026-08-25 22:50:35.604,2026-08-25 22:50:35.604
c38b3546-82be-8c3f-60bd-fa163eef1989,FWBDKN05002Q00104,0.000000,2026-08-25 22:16:00.000,2026-08-25 22:25:36.796,2026-08-25 22:25:36.796
"5e0cc6c2-82bd-8a3f-3df3-fa163eef13a1",FWBDKN05002Q00102,0.000000,2026-08-25 22:06:00.000,2026-08-25 22:15:36.970,2026-08-25 22:15:36.970
b33d080a-82ae-8c3f-60bd-fa163eef1989,FWBDKN05002Q00103,0.000000,2026-08-25 20:20:00.000,2026-08-25 20:30:37.433,2026-08-25 20:30:37.433
"9ab7f134-82ac-8b3f-eee0-fa163eefef93",FWBDKN05002Q00104,0.000000,2026-08-25 20:06:00.000,2026-08-25 20:15:37.363,2026-08-25 20:15:37.363
"687b92e2-82a8-8b3f-eee0-fa163eefef93",FWBDKN05002Q00104,0.000000,2026-08-25 19:36:00.000,2026-08-25 19:45:35.091,2026-08-25 19:45:35.091
a26a6096-829e-8c3f-60bd-fa163eef1989,FWBDKN05002Q00102,0.000000,2026-08-25 18:26:00.000,2026-08-25 18:35:37.273,2026-08-25 18:35:37.273
"39d35da6-8296-8c3f-60bd-fa163eef1989",FWBDKN05002Q00103,0.000000,2026-08-25 17:26:00.000,2026-08-25 17:35:25.812,2026-08-25 17:35:25.812
"8ae59e5a-828e-8b3f-eee0-fa163eefef93",FWBDKN05002Q00102,0.000000,2026-08-25 16:31:00.000,2026-08-25 16:40:25.865,2026-08-25 16:40:25.865
e87ea316-8286-8b3f-eee0-fa163eefef93,FWBDKN05002Q00103,0.000000,2026-08-25 15:36:00.000,2026-08-25 15:45:46.915,2026-08-25 15:45:46.915
e87575d4-8286-8b3f-eee0-fa163eefef93,FWBDKN05002Q00101,0.000000,2026-08-25 15:36:00.000,2026-08-25 15:45:46.915,2026-08-25 15:45:46.915
e339320a-8253-8a3f-3df3-fa163eef13a1,FWBDKN05002Q00101,0.000000,2026-08-25 09:31:00.000,2026-08-25 09:40:33.798,2026-08-25 09:40:33.798
"9c2693b8-824d-8a3f-3df3-fa163eef13a1",FWBDKN05002Q00105,0.000000,2026-08-25 08:46:00.000,2026-08-25 08:55:37.516,2026-08-25 08:55:37.516
"2b103b90-823c-8c3f-60bd-fa163eef1989",FWBDKN05002Q00101,0.000000,2026-08-25 06:41:00.000,2026-08-25 06:50:46.404,2026-08-25 06:50:46.404
"59d2c4be-8239-8a3f-3df3-fa163eef13a1",FWBDKN05002Q00103,0.000000,2026-08-25 06:21:00.000,2026-08-25 06:30:36.313,2026-08-25 06:30:36.313
f375ed96-8237-8a3f-3df3-fa163eef13a1,FWBDKN05002Q00101,0.000000,2026-08-25 06:11:00.000,2026-08-25 06:20:35.130,2026-08-25 06:20:35.130
"13d26ab2-822c-893f-19f5-fa163eef1aaa",FWBDKN05002Q00103,0.000000,2026-08-25 04:46:00.000,2026-08-25 04:55:35.410,2026-08-25 04:55:35.410
b14f31c0-8223-893f-19f5-fa163eef1aaa,FWBDKN05002Q00104,0.000000,2026-08-25 03:46:00.000,2026-08-25 03:55:34.213,2026-08-25 03:55:34.213
"05fad3ec-8223-8c3f-60bd-fa163eef1989",FWBDKN05002Q00104,0.000000,2026-08-25 03:41:00.000,2026-08-25 03:50:46.769,2026-08-25 03:50:46.769
"467afc22-8222-8b3f-eee0-fa163eefef93",FWBDKN05002Q00101,0.000000,2026-08-25 03:36:00.000,2026-08-25 03:45:25.480,2026-08-25 03:45:25.480
"3c57c582-8212-8c3f-60bd-fa163eef1989",FWBDKN05002Q00104,0.000000,2026-08-25 01:41:00.000,2026-08-25 01:50:36.526,2026-08-25 01:50:36.526
"3c60b764-8212-8c3f-60bd-fa163eef1989",FWBDKN05002Q00105,0.000000,2026-08-25 01:41:00.000,2026-08-25 01:50:36.526,2026-08-25 01:50:36.526
"8d0b4eb6-820a-8b3f-eee0-fa163eefef93",FWBDKN05002Q00102,0.000000,2026-08-25 00:46:00.000,2026-08-25 00:55:35.899,2026-08-25 00:55:35.899
"103f9750-8207-893f-19f5-fa163eef1aaa",FWBDKN05002Q00102,0.000000,2026-08-25 00:21:00.000,2026-08-25 00:30:38.032,2026-08-25 00:30:38.032
ef45616c-8204-8b3f-eee0-fa163eefef93,FWBDKN05002Q00102,0.000000,2026-08-25 00:06:00.000,2026-08-25 00:15:23.708,2026-08-25 00:15:23.708
e7860796-81fb-8b3f-eee0-fa163eefef93,FWBDKN05002Q00104,0.000000,2026-08-24 23:01:00.000,2026-08-24 23:10:45.300,2026-08-24 23:10:45.300
"7f1f69a2-81f3-893f-19f5-fa163eef1aaa",FWBDKN05002Q00102,0.000000,2026-08-24 22:01:00.000,2026-08-24 22:10:34.121,2026-08-24 22:10:34.121
ae575ab6-81f0-893f-19f5-fa163eef1aaa,FWBDKN05002Q00101,0.000000,2026-08-24 21:41:00.000,2026-08-24 21:50:24.900,2026-08-24 21:50:24.900
"1df97dc8-81eb-8c3f-60bd-fa163eef1989",FWBDKN05002Q00104,0.000000,2026-08-24 21:01:00.000,2026-08-24 21:10:35.211,2026-08-24 21:10:35.211
d400dabe-81e4-893f-19f5-fa163eef1aaa,FWBDKN05002Q00102,0.000000,2026-08-24 20:16:00.000,2026-08-24 20:25:34.069,2026-08-24 20:25:34.069
"223240de-81e4-893f-19f5-fa163eef1aaa",FWBDKN05002Q00103,0.000000,2026-08-24 20:11:00.000,2026-08-24 20:20:35.758,2026-08-24 20:20:35.758
c342c7b6-81e2-8a3f-3df3-fa163eef13a1,FWBDKN05002Q00105,0.000000,2026-08-24 20:01:00.000,2026-08-24 20:10:46.984,2026-08-24 20:10:46.984
